~=~=~=MPPT Charge Controller=~=~=~
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
Current limit set to : 0.000
Please, restart the electronic load
The test will initiate in 5 seconds
4.416V, 0.688A, 0.724A
4.368V, 0.688A, 0.728A
4.330V, 0.688A, 0.732A
4.301V, 0.688A, 0.736A
4.253V, 0.688A, 0.740A
4.234V, 0.706A, 0.744A
4.195V, 0.708A, 0.748A
4.118V, 0.710A, 0.752A
4.080V, 0.710A, 0.756A
4.042V, 0.713A, 0.760A
4.022V, 0.719A, 0.764A
3.946V, 0.733A, 0.768A
SETUP COMPLETE !!
Sampling Period : 100.00
0.000 , 0.000 , 0.000 , 10.752,0.0666,0.716,0.133,0.100, 1.091765E+01, 1.083656E-01 , -1.703738E-01 , -1.022149E+00 
0.000 , 0.000 , 0.000 , 10.752,0.0666,0.716,0.133,0.104, 1.088072E+01, 1.162582E-01 , -1.775898E-01 , -1.065441E+00 
-0.096 , 0.000 , -0.006 , 10.656,0.0666,0.710,0.155,0.108, 1.079665E+01, 1.206110E-01 , -1.872442E-01 , -1.123364E+00 
0.000 , 0.000 , 0.000 , 10.656,0.0666,0.710,0.133,0.112, 1.074409E+01, 1.283485E-01 , -1.975846E-01 , -1.185401E+00 
0.000 , 0.000 , 0.000 , 10.656,0.0666,0.710,0.178,0.116, 1.070073E+01, 1.320703E-01 , -2.052666E-01 , -1.231488E+00 
-0.096 , 0.000 , -0.006 , 10.560,0.0666,0.703,0.155,0.120, 1.059384E+01, 1.435188E-01 , -2.147098E-01 , -1.288142E+00 
0.000 , 0.013 , 0.141 , 10.560,0.0799,0.844,0.178,0.124, 1.056677E+01, 1.435047E-01 , -2.188403E-01 , -1.312923E+00 
-0.096 , 0.009 , 0.085 , 10.464,0.0888,0.929,0.178,0.128, 1.052434E+01, 1.516359E-01 , -2.251373E-01 , -1.350700E+00 
-0.067 , 0.000 , -0.006 , 10.397,0.0888,0.923,0.200,0.132, 1.048466E+01, 1.556551E-01 , -2.324109E-01 , -1.394336E+00 
-0.029 , 0.000 , -0.003 , 10.368,0.0888,0.921,0.178,0.136, 1.040716E+01, 1.618917E-01 , -2.428134E-01 , -1.456747E+00 
0.000 , 0.000 , 0.000 , 10.368,0.0888,0.921,0.200,0.140, 1.037159E+01, 1.663328E-01 , -2.517299E-01 , -1.510241E+00 
-0.019 , 0.002 , 0.021 , 10.349,0.0910,0.942,0.222,0.144, 1.027646E+01, 1.732041E-01 , -2.564192E-01 , -1.538373E+00 
-0.077 , 0.020 , 0.198 , 10.272,0.1110,1.140,0.222,0.148, 1.024190E+01, 1.796994E-01 , -2.616186E-01 , -1.569565E+00 
0.000 , 0.000 , 0.000 , 10.272,0.1110,1.140,0.222,0.152, 1.016339E+01, 1.838679E-01 , -2.714995E-01 , -1.628846E+00 
-0.096 , 0.000 , -0.011 , 10.176,0.1110,1.130,0.222,0.156, 1.012839E+01, 1.924290E-01 , -2.771437E-01 , -1.662708E+00 
0.000 , 0.000 , 0.000 , 10.176,0.1110,1.130,0.222,0.160, 1.005304E+01, 1.949616E-01 , -2.852531E-01 , -1.711360E+00 
-0.038 , 0.000 , -0.004 , 10.138,0.1110,1.125,0.222,0.164, 1.001375E+01, 2.061072E-01 , -3.028595E-01 , -1.816986E+00 
-0.058 , 0.022 , 0.217 , 10.080,0.1332,1.343,0.222,0.168, 9.921751E+00, 2.089313E-01 , -3.080653E-01 , -1.848217E+00 
