~=~=~=MPPT Charge Controller=~=~=~
Could not disable Reverse Turbo Mode
Could not write bit
Could not enable Input Current Limit Control
Could not enable Autocharging
Could not enable Auto charging
Could not disable two level adapter control
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
0.000 , 0.000 , 0.000 , 10.080,0.1110,1.119,0.178,0.164
-0.096 , 0.022 , -0.002 , 9.984,0.1332,1.330,0.222,0.160
0.096 , -0.022 , -0.002 , 10.080,0.1110,1.119,0.200,0.156
0.000 , 0.000 , 0.000 , 10.080,0.1110,1.119,0.200,0.160
0.000 , 0.000 , 0.000 , 10.080,0.1110,1.119,0.178,0.164
-0.096 , 0.022 , -0.002 , 9.984,0.1332,1.330,0.200,0.160
0.096 , -0.022 , -0.002 , 10.080,0.1110,1.119,0.200,0.156
0.000 , 0.000 , 0.000 , 10.080,0.1110,1.119,0.222,0.160
0.000 , 0.000 , 0.000 , 10.080,0.1110,1.119,0.222,0.164
-0.096 , 0.022 , -0.002 , 9.984,0.1332,1.330,0.222,0.160
0.096 , -0.022 , -0.002 , 10.080,0.1110,1.119,0.200,0.156
0.000 , 0.000 , 0.000 , 10.080,0.1110,1.119,0.222,0.160
0.000 , 0.000 , 0.000 , 10.080,0.1110,1.119,0.200,0.164
-0.096 , 0.000 , 0.000 , 9.984,0.1110,1.108,0.222,0.168
0.000 , 0.022 , 0.000 , 9.984,0.1332,1.330,0.222,0.172
-0.096 , 0.000 , 0.000 , 9.888,0.1332,1.317,0.222,0.176
0.000 , 0.000 , 0.000 , 9.888,0.1332,1.317,0.222,0.180
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.311,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.311,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.311,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.266,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.311,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
